as_of,symbol,bias,instrument,action,side,expiry,strike,entry_price,sl_premium,sl_invalidation,t1_underlying,t1_premium,t2_underlying,t2_premium,confidence,spot,ltp,iv,dte,theta_per_day,delta,extrinsic,sell_by
2025-12-12,NIFTY,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,26046.95,,,,,,,
2025-12-12,BANKNIFTY,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,59389.95,,,,,,,
2025-12-12,ADANIENT,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,2282.4,,,,,,,
2025-12-12,ADANIPORTS,BULLISH,OPTION,BUY,CE,30-DEC-2025,1520.0,27.84,18.1,1506.68,1544.29,40.02,1565.78,49.76,0.46,1522.8,28.7,18.19,18,-0.83,0.56,25.9,2025-12-26
2025-12-12,APOLLOHOSP,BULLISH,OPTION,BUY,CE,30-DEC-2025,7100.0,98.79,64.22,7043.27,7177.97,142.02,7254.94,176.6,0.47,7101.0,101.85,14.1,18,-3.17,0.55,100.85,2025-12-26
2025-12-12,ASIANPAINT,BEARISH,OPTION,BUY,PE,30-DEC-2025,2760.0,35.45,23.04,2796.66,2722.33,50.96,2679.85,63.37,0.46,2764.8,36.55,17.74,18,-0.95,-0.44,36.55,2025-12-29
2025-12-12,AXISBANK,BULLISH,OPTION,BUY,CE,30-DEC-2025,1300.0,10.77,7.0,1275.01,1300.89,15.48,1315.68,19.25,0.39,1286.1,11.1,13.43,18,-0.51,0.41,11.1,2025-12-21
2025-12-12,BAJAJ-AUTO,BEARISH,OPTION,BUY,PE,30-DEC-2025,9000.0,109.61,71.25,9102.66,8898.11,157.56,8781.23,195.93,0.46,9015.0,113.0,16.92,18,-2.93,-0.44,113.0,2025-12-29
2025-12-12,BAJAJFINSV,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,2083.15,,,,,,,
2025-12-12,BAJFINANCE,BULLISH,OPTION,BUY,CE,30-DEC-2025,1020.0,17.85,11.6,1004.7,1034.09,25.66,1050.89,31.9,0.46,1017.3,18.4,19.97,18,-0.6,0.52,18.4,2025-12-25
2025-12-12,BHARTIARTL,BULLISH,OPTION,BUY,CE,30-DEC-2025,2100.0,19.79,12.86,2063.33,2110.17,28.45,2136.93,35.37,0.42,2083.4,20.4,13.41,18,-0.86,0.45,20.4,2025-12-22
2025-12-12,BPCL,BULLISH,OPTION,BUY,CE,30-DEC-2025,360.0,9.99,6.49,360.11,371.64,14.36,378.22,17.86,0.41,365.05,10.3,20.87,18,-0.22,0.65,5.25,2025-12-22
2025-12-12,BRITANNIA,BULLISH,OPTION,BUY,CE,30-DEC-2025,5900.0,97.34,63.27,5857.94,5992.24,139.93,6068.99,173.99,0.45,5915.5,100.35,15.54,18,-2.86,0.58,84.85,2025-12-25
2025-12-12,CIPLA,BEARISH,OPTION,BUY,PE,30-DEC-2025,1520.0,18.14,11.79,1529.04,1501.87,26.07,1486.35,32.42,0.46,1517.4,18.7,14.88,18,-0.41,-0.47,16.1,2025-12-29
2025-12-12,COALINDIA,BEARISH,OPTION,BUY,PE,30-DEC-2025,380.0,2.42,1.58,386.31,379.4,3.49,375.45,4.33,0.4,383.35,2.5,13.17,18,-0.09,-0.33,2.5,2025-12-24
2025-12-12,DIVISLAB,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,6426.5,,,,,,,
2025-12-12,DRREDDY,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,1279.35,,,,,,,
2025-12-12,EICHERMOT,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,7228.95,,,,,,,
2025-12-12,GRASIM,BULLISH,OPTION,BUY,CE,30-DEC-2025,2840.0,38.61,25.09,2812.31,2869.23,55.5,2901.75,69.01,0.46,2836.7,39.8,14.53,18,-1.29,0.53,39.8,2025-12-25
2025-12-12,HCLTECH,BEARISH,OPTION,BUY,PE,30-DEC-2025,1660.0,18.24,11.85,1688.17,1653.24,26.21,1633.28,32.6,0.42,1673.2,18.8,18.47,18,-0.6,-0.38,18.8,2025-12-26
2025-12-12,HDFCBANK,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,1001.4,,,,,,,
2025-12-12,HDFCLIFE,BEARISH,OPTION,BUY,PE,30-DEC-2025,780.0,12.03,7.82,786.65,765.3,17.29,753.1,21.5,0.45,777.5,12.4,18.14,18,-0.27,-0.49,9.9,2025-12-28
2025-12-12,HEROMOTOCO,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,5960.0,,,,,,,
2025-12-12,HINDALCO,BULLISH,OPTION,BUY,CE,30-DEC-2025,850.0,18.38,11.95,842.31,865.16,26.42,878.21,32.86,0.46,852.1,18.95,21.67,18,-0.54,0.56,16.85,2025-12-26
2025-12-12,HINDUNILVR,BEARISH,OPTION,BUY,PE,30-DEC-2025,2260.0,27.5,17.87,2288.79,2223.02,39.53,2185.43,49.16,0.47,2260.6,28.35,16.19,18,-0.69,-0.45,28.35,2025-12-29
2025-12-12,ICICIBANK,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,1366.0,,,,,,,
2025-12-12,INDUSINDBK,BULLISH,OPTION,BUY,CE,30-DEC-2025,850.0,17.31,11.25,834.51,861.67,24.89,877.19,30.95,0.45,846.15,17.85,24.41,18,-0.59,0.5,17.85,2025-12-25
2025-12-12,INFY,BEARISH,OPTION,BUY,PE,30-DEC-2025,1600.0,21.29,13.84,1613.47,1577.84,30.61,1557.48,38.06,0.46,1598.2,21.95,16.8,18,-0.51,-0.47,20.15,2025-12-29
2025-12-12,ITC,BEARISH,OPTION,BUY,PE,30-DEC-2025,400.0,3.2,2.08,402.55,396.84,4.6,393.58,5.72,0.47,400.1,3.3,11.29,18,-0.08,-0.44,3.3,2025-12-29
2025-12-12,JSWSTEEL,BULLISH,OPTION,BUY,CE,30-DEC-2025,1120.0,25.37,16.49,1108.28,1148.45,36.46,1171.41,45.34,0.45,1125.5,26.15,21.29,18,-0.7,0.58,20.65,2025-12-25
2025-12-12,KOTAKBANK,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,2176.6,,,,,,,
2025-12-12,LT,BULLISH,OPTION,BUY,CE,30-DEC-2025,4100.0,40.93,26.61,4033.84,4127.78,58.84,4181.46,73.17,0.43,4074.1,42.2,13.24,18,-1.68,0.47,42.2,2025-12-23
2025-12-12,M&M,BULLISH,OPTION,BUY,CE,30-DEC-2025,3700.0,57.13,37.14,3643.06,3728.31,82.13,3777.03,102.13,0.44,3679.6,58.9,19.2,18,-2.07,0.49,58.9,2025-12-24
2025-12-12,MARUTI,BULLISH,OPTION,BUY,CE,30-DEC-2025,16500.0,232.85,151.35,16368.06,16727.26,334.72,16932.51,416.22,0.46,16522.0,240.05,13.57,18,-7.19,0.57,218.05,2025-12-25
2025-12-12,NESTLEIND,BULLISH,OPTION,BUY,CE,30-DEC-2025,1240.0,15.62,10.15,1227.39,1252.85,22.45,1267.4,27.92,0.46,1238.3,16.1,13.49,18,-0.53,0.53,16.1,2025-12-25
2025-12-12,NTPC,BULLISH,OPTION,BUY,CE,30-DEC-2025,325.0,3.73,2.43,322.56,328.37,5.37,331.69,6.68,0.47,325.05,3.85,11.24,18,-0.12,0.56,3.8,2025-12-25
2025-12-12,ONGC,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,238.0,,,,,,,
2025-12-12,POWERGRID,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,263.6,,,,,,,
2025-12-12,RELIANCE,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,1556.5,,,,,,,
2025-12-12,SBILIFE,BULLISH,OPTION,BUY,CE,30-DEC-2025,2020.0,31.04,20.18,2003.47,2055.81,44.62,2085.72,55.48,0.45,2025.9,32.0,14.0,18,-0.9,0.59,26.1,2025-12-25
2025-12-12,SBIN,BEARISH,OPTION,BUY,PE,30-DEC-2025,960.0,9.21,5.99,972.65,950.48,13.25,937.81,16.47,0.45,963.15,9.5,14.66,18,-0.26,-0.41,9.5,2025-12-28
2025-12-12,SUNPHARMA,BEARISH,OPTION,BUY,PE,30-DEC-2025,1800.0,19.4,12.61,1809.78,1771.8,27.89,1750.09,34.68,0.45,1793.5,20.0,12.49,18,-0.38,-0.5,13.5,2025-12-28
2025-12-12,TATACONSUM,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,1149.3,,,,,,,
2025-12-12,TATASTEEL,BULLISH,OPTION,BUY,CE,30-DEC-2025,175.0,1.98,1.29,169.98,174.46,2.84,177.01,3.54,0.37,171.9,2.04,20.42,18,-0.09,0.38,2.04,2025-12-21
2025-12-12,TECHM,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,1578.4,,,,,,,
2025-12-12,TITAN,BULLISH,OPTION,BUY,CE,30-DEC-2025,3900.0,44.23,28.75,3842.77,3930.1,63.58,3980.01,79.06,0.44,3880.2,45.6,14.16,18,-1.7,0.49,45.6,2025-12-24
2025-12-12,ULTRACEMCO,BULLISH,OPTION,BUY,CE,30-DEC-2025,11700.0,173.53,112.8,11614.06,11868.36,249.45,12013.68,310.19,0.46,11723.05,178.9,14.0,18,-5.23,0.58,155.85,2025-12-25
2025-12-12,WIPRO,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,260.6,,,,,,,
